alpha,CL,CD,CM,XCp,Cpmn,Xtr_top,Xtr_bottom,airfoil,Re,mach
-5.0,,,-0.0337,,,1.0,0.135,naca2412,100000.0,0.1
-4.0,,,-0.0251,,,1.0,0.1385,naca2412,100000.0,0.1
-3.0,,,-0.0388,,,1.0,0.2816,naca2412,100000.0,0.1
-2.0,,,-0.0536,,,1.0,0.5151,naca2412,100000.0,0.1
-1.0,,,-0.0612,,,0.9958,0.8843,naca2412,100000.0,0.1
0.0,,,-0.065,,,0.9094,1.0,naca2412,100000.0,0.1
1.0,,,-0.0661,,,0.7888,1.0,naca2412,100000.0,0.1
2.0,,,-0.0772,,,0.7276,1.0,naca2412,100000.0,0.1
3.0,,,-0.078,,,0.6742,1.0,naca2412,100000.0,0.1
4.0,,,-0.0778,,,0.6091,1.0,naca2412,100000.0,0.1
-5.0,,,-0.0279,,,1.0,0.1012,naca2412,166810.0537200059,0.1
-4.0,,,-0.0277,,,1.0,0.1028,naca2412,166810.0537200059,0.1
-3.0,,,-0.0541,,,0.9903,0.2199,naca2412,166810.0537200059,0.1
-2.0,,,-0.0586,,,0.9373,0.4245,naca2412,166810.0537200059,0.1
-1.0,,,-0.0556,,,0.8834,0.7547,naca2412,166810.0537200059,0.1
0.0,,,-0.0649,,,0.8018,0.9516,naca2412,166810.0537200059,0.1
1.0,,,-0.0711,,,0.6882,1.0,naca2412,166810.0537200059,0.1
2.0,,,-0.0821,,,0.6318,1.0,naca2412,166810.0537200059,0.1
3.0,,,-0.0724,,,0.576,1.0,naca2412,166810.0537200059,0.1
4.0,,,-0.0692,,,0.5137,1.0,naca2412,166810.0537200059,0.1
-5.0,,,-0.0291,,,1.0,0.0763,naca2412,278255.94022071257,0.1
-4.0,,,-0.0541,,,0.9532,0.0784,naca2412,278255.94022071257,0.1
-3.0,,,-0.0529,,,0.9025,0.1717,naca2412,278255.94022071257,0.1
-2.0,,,-0.0566,,,0.8527,0.3619,naca2412,278255.94022071257,0.1
-1.0,,,-0.0604,,,0.7995,0.6538,naca2412,278255.94022071257,0.1
0.0,,,-0.0518,,,0.7233,0.8515,naca2412,278255.94022071257,0.1
1.0,,,-0.0591,,,0.6148,0.9945,naca2412,278255.94022071257,0.1
2.0,,,-0.0657,,,0.5607,1.0,naca2412,278255.94022071257,0.1
3.0,,,-0.0553,,,0.5085,1.0,naca2412,278255.94022071257,0.1
4.0,,,-0.0584,,,0.4474,1.0,naca2412,278255.94022071257,0.1
-5.0,,,-0.0496,,,0.9341,0.059,naca2412,464158.8833612782,0.1
-4.0,,,-0.0516,,,0.8875,0.0617,naca2412,464158.8833612782,0.1
-3.0,,,-0.0493,,,0.8376,0.1407,naca2412,464158.8833612782,0.1
-2.0,,,-0.0503,,,0.7905,0.3172,naca2412,464158.8833612782,0.1
-1.0,,,-0.0466,,,0.7368,0.5829,naca2412,464158.8833612782,0.1
0.0,,,-0.0546,,,0.6648,0.7664,naca2412,464158.8833612782,0.1
1.0,,,-0.0545,,,0.5595,0.912,naca2412,464158.8833612782,0.1
2.0,,,-0.0554,,,0.508,0.9878,naca2412,464158.8833612782,0.1
3.0,,,-0.0644,,,0.4559,1.0,naca2412,464158.8833612782,0.1
4.0,,,-0.0597,,,0.3921,1.0,naca2412,464158.8833612782,0.1
-5.0,,,-0.0487,,,0.8824,0.048,naca2412,774263.6826811278,0.1
-4.0,,,-0.0484,,,0.8383,0.0486,naca2412,774263.6826811278,0.1
-3.0,,,-0.0471,,,0.789,0.1197,naca2412,774263.6826811278,0.1
-2.0,,,-0.0514,,,0.7439,0.2778,naca2412,774263.6826811278,0.1
-1.0,,,-0.0459,,,0.6895,0.4952,naca2412,774263.6826811278,0.1
0.0,,,-0.0473,,,0.6189,0.6675,naca2412,774263.6826811278,0.1
1.0,,,-0.0548,,,0.5188,0.848,naca2412,774263.6826811278,0.1
2.0,,,-0.0488,,,0.472,0.9242,naca2412,774263.6826811278,0.1
3.0,,,-0.0587,,,0.4183,0.9802,naca2412,774263.6826811278,0.1
4.0,,,-0.0643,,,0.3523,1.0,naca2412,774263.6826811278,0.1
-5.0,,,-0.0505,,,0.8443,0.0403,naca2412,1291549.6650148828,0.1
-4.0,,,-0.0528,,,0.8002,0.0407,naca2412,1291549.6650148828,0.1
-3.0,,,-0.0539,,,0.7515,0.1058,naca2412,1291549.6650148828,0.1
-2.0,,,-0.0466,,,0.7067,0.2452,naca2412,1291549.6650148828,0.1
-1.0,,,-0.0469,,,0.6523,0.3761,naca2412,1291549.6650148828,0.1
0.0,,,-0.0504,,,0.5791,0.5774,naca2412,1291549.6650148828,0.1
1.0,,,-0.0484,,,0.4868,0.7583,naca2412,1291549.6650148828,0.1
2.0,,,-0.0526,,,0.4418,0.8743,naca2412,1291549.6650148828,0.1
3.0,,,-0.0561,,,0.3852,0.9334,naca2412,1291549.6650148828,0.1
4.0,,,-0.058,,,0.3113,0.9822,naca2412,1291549.6650148828,0.1
-5.0,,,-0.056,,,0.8143,0.0344,naca2412,2154434.6900318824,0.1
-4.0,,,-0.0495,,,0.7695,0.0348,naca2412,2154434.6900318824,0.1
-3.0,,,-0.0491,,,0.7213,0.096,naca2412,2154434.6900318824,0.1
-2.0,,,-0.0482,,,0.6743,0.2018,naca2412,2154434.6900318824,0.1
-1.0,,,-0.0468,,,0.609,0.3035,naca2412,2154434.6900318824,0.1
0.0,,,-0.0467,,,0.5271,0.4505,naca2412,2154434.6900318824,0.1
1.0,,,-0.0498,,,0.4616,0.6269,naca2412,2154434.6900318824,0.1
2.0,,,-0.0564,,,0.4135,0.8052,naca2412,2154434.6900318824,0.1
3.0,,,-0.0559,,,0.3418,0.8918,naca2412,2154434.6900318824,0.1
4.0,,,-0.0619,,,0.2516,0.9408,naca2412,2154434.6900318824,0.1
-5.0,,,-0.0527,,,0.7799,0.0306,naca2412,3593813.6638046256,0.1
-4.0,,,-0.0501,,,0.7309,0.0313,naca2412,3593813.6638046256,0.1
-3.0,,,-0.0483,,,0.6813,0.0893,naca2412,3593813.6638046256,0.1
